tgl_berlaku|harga_emas
2013-01-30|500000.00
2013-04-04|450000.00
2013-04-22|450000.00
2013-05-21|430000.00
2013-06-21|417000.00
2013-06-27|402000.00
2013-06-28|393000.00
2013-06-29|393000.00
2013-07-01|393000.00
2013-07-02|387000.00
2013-07-03|387000.00
2013-07-04|391000.00
2013-07-05|392000.00
2013-07-06|392000.00
2013-07-08|392000.00
2013-07-09|392000.00
2013-07-10|349000.00
2013-07-11|352000.00
2013-07-12|355000.00
2013-07-13|360000.00
2013-07-15|363000.00
2013-07-16|365000.00
2013-07-17|366000.00
2013-07-19|368000.00
2013-07-20|370000.00
2013-07-22|375000.00
2013-07-23|379000.00
2013-07-24|383000.00
2013-07-25|386000.00
2013-07-26|388000.00
2013-07-27|389000.00
2013-07-29|389000.00
2013-07-30|388000.00
2013-07-31|388000.00
2013-08-01|388000.00
2013-08-02|386000.00
2013-08-03|385000.00
2013-08-05|384000.00
2013-08-06|383000.00
2013-08-07|380000.00
2013-08-12|382000.00
2013-08-13|383000.00
2013-08-14|384000.00
2013-08-15|386000.00
2013-08-16|391000.00
2013-08-17|395000.00
2013-08-19|399000.00
2013-08-20|405000.00
2013-08-21|412000.00
2013-08-22|418000.00
2013-08-23|448952.00
2013-08-24|448952.00
2013-08-26|448952.00
2013-08-27|466594.00
2013-08-28|466594.00
2013-09-08|466597.00
2013-09-09|466594.00
2013-09-12|466594.00
2013-09-17|450532.00
2013-09-18|450532.00
2013-09-19|450532.00
2013-09-28|450532.00
2013-10-12|450532.00
2013-10-16|434430.00
2013-10-22|434430.00
2013-11-08|434430.00
2013-11-20|434430.00
2013-11-21|434430.00
2013-11-25|434430.00
2013-11-26|434430.00
2013-11-27|434430.00
2013-12-03|434430.00
2013-12-23|434430.00
2013-12-30|434430.00
2014-01-02|434430.00
2014-01-07|434430.00
2014-01-13|447486.00
2014-02-14|461004.00
2014-03-14|461004.00
2014-03-27|445798.00
2014-04-04|431321.00
2014-04-15|444701.00
2014-05-08|444701.00
2014-05-09|444701.00
2014-05-14|444701.00
2014-06-16|444701.00
2014-06-23|458718.00
2014-07-06|458718.00
2014-07-08|458748.00
2014-07-10|458718.00
2014-07-11|458718.00
2014-07-12|458718.00
2014-07-14|458718.00
2014-07-15|458718.00
2014-07-16|458718.00
2014-07-17|458718.00
2014-07-18|458718.00
2014-07-19|458718.00
2014-07-20|458718.00
2014-07-21|458718.00
2014-07-22|458718.00
2014-07-23|458718.00
2014-07-24|458718.00
2014-07-25|458718.00
2014-07-26|458718.00
2014-08-04|458718.00
2014-08-05|458718.00
